category,item,cost_type,currency,monthly_cost,notes
Infrastructure,VPS/Hosting,Fixed,MAD,,
Infrastructure,Domain,Fixed,MAD,,
Infrastructure,Backups/Storage,Fixed,MAD,,
Infrastructure,Monitoring/Logging,Fixed,MAD,,
Infrastructure,Email Service Base,Fixed,MAD,,
Operations,Support Baseline,Fixed,MAD,,
Operations,Admin/Tools Subscriptions,Fixed,MAD,,
Variable,Storage Per Active Account,VariablePerAccount,MAD,,
Variable,Email/Notifications Per Active Account,VariablePerAccount,MAD,,
Variable,Document Processing Per Active Account,VariablePerAccount,MAD,,
Variable,Support Handling Per Active Account,VariablePerAccount,MAD,,
Forecast,Expected Paid Users (Month 1),ForecastCount,Count,,
Forecast,Expected Paid Users (Month 2),ForecastCount,Count,,
Forecast,Expected Paid Users (Month 3),ForecastCount,Count,,
Pricing,Target Gross Margin,Assumption,Percent,0.8,
Pricing,Yearly Discount,Assumption,Percent,0.2,
